xflr5 v6.61

AHAPS_Roll
T1-32.5 m/s-LLT
QInf  =   32.455000 m/s
Alpha =    9.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.839041
Cy    =    0.000000
Cd    =    0.027260     ICd   =    0.013744     PCd   =    0.013516
Cl   =  -0.0400598
Cm   =   -0.167082
ICn   =    0.001930     PCn   =    0.001877 
XCP   =    2.589741     YCP   =    1.805038     ZCP   =    0.000000  
XNP   =    0.000000
Bending = 16108.663967

Main WingFlap    1 moment =    0.0000 N.m
Flap    2 moment =    0.0000 N.m

  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
    3.2825     1.6700    -0.470    0.987398    0.012288    0.008106    0.600061    0.021814     0.2018    0.9878    0.2153   11547.6329
    4.5730     1.6700    -0.450    0.985889    0.012277    0.007739    0.395115    0.021894     0.2021    0.9878    0.2152   9573.1916
    5.8413     1.6700    -0.436    0.983462    0.012260    0.007486    0.194200    0.022022     0.2025    0.9877    0.2150   7805.8867
    7.0812     1.6700    -0.406    0.983419    0.012259    0.006975   -0.001431    0.022024     0.2025    0.9877    0.2150   6243.6433
    8.2865     1.6700    -0.373    0.983951    0.012263    0.006413   -0.191756    0.021996     0.2024    0.9877    0.2151   4881.6300
    9.4515     1.6700    -0.279    0.993309    0.012332    0.004840   -0.379942    0.021503     0.2009    0.9881    0.2157   3712.1855
   10.5704     1.6700    -0.121    1.011265    0.012511    0.002139   -0.569655    0.020593     0.1972    0.9891    0.2168   2726.2541
   11.6378     1.6700     0.494    1.088837    0.013459   -0.009386   -0.804943    0.017056     0.1798    0.9949    0.2208   1913.3433
   12.6486     1.6700    -4.552    1.371923    0.024026    0.108998   -1.374983   -0.116784     0.2234    0.6980    0.3268   1267.3065
   13.5977     1.6700    -4.143    1.391078    0.024484    0.100582   -1.603305   -0.115693     0.2142    0.7005    0.3246   798.6767
   14.4805     1.6700    -5.346    1.268469    0.022636    0.118345   -1.657035   -0.120850     0.2508    0.6854    0.3385   484.4413
   15.2928     1.6700     1.180    0.858729    0.011576   -0.017690   -1.124540    0.027315     0.2164    0.9786    0.2067   289.7853
   16.0307     1.6700     0.724    0.668402    0.010297   -0.008447   -0.942241    0.033360     0.2556    0.9584    0.1900   166.1008
   16.6904     1.6700     0.673    0.562739    0.009606   -0.006608   -0.848033    0.032844     0.2806    0.9380    0.1823   88.8376
   17.2687     1.6700    -0.137    0.497992    0.008855    0.001191   -0.820836   -0.001884     0.2615    0.9841    0.2481   42.8928
   17.7630     1.6700    -0.530    0.438636    0.008346    0.004054   -0.744170    0.001590     0.3175    0.9800    0.2408   17.9105
   18.1707     1.6700    -1.001    0.373884    0.007808    0.006529   -0.646208    0.004167     0.3808    0.9704    0.2334    6.0268
   18.4899     1.6700    -1.551    0.302429    0.007238    0.008188   -0.526754    0.006055     0.4519    0.9555    0.2248    1.4153
   18.7190     1.6700    -2.304    0.217533    0.006627    0.008749   -0.377811    0.005476     0.5413    0.9227    0.2198    0.1601
   18.8570     1.6700    -3.261    0.116641    0.006125    0.006638   -0.198196    0.002986     0.6476    0.8607    0.2196    0.0000




